scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,training_loads
ambiguous,light,0.5,9,0,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,0,3,history_cost,LE-GRA MVP,0.5253623188405797,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,1,3,history_cost,Multi-feature k-means,0.8115942028985508,0.6187845303867403,0.5532134008379241,3,2,light+medium
ambiguous,light,0.5,9,1,3,history_cost,LE-GRA MVP,0.75,0.5151237396883593,0.5707877362758261,3,3,light+medium
ambiguous,light,0.5,9,2,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.03196587498025177,0.07616191456978497,3,2,light+medium
ambiguous,light,0.5,9,2,3,history_cost,LE-GRA MVP,0.4601449275362319,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,3,3,history_cost,Multi-feature k-means,0.8623188405797102,0.7091352820455933,0.7727737058147917,3,3,light+medium
ambiguous,light,0.5,9,3,3,history_cost,LE-GRA MVP,0.5652173913043478,0.12237002490858023,0.20239066713102974,3,2,light+medium
ambiguous,light,0.5,9,4,3,history_cost,Multi-feature k-means,0.8152173913043478,0.601427115188583,0.7290394147377214,3,3,light+medium
ambiguous,light,0.5,9,4,3,history_cost,LE-GRA MVP,0.9311594202898551,0.8558231606730451,0.8617672736017763,3,3,light+medium
ambiguous,light,0.5,9,5,3,history_cost,Multi-feature k-means,0.8840579710144928,0.7688442211055276,0.8261230797267559,3,2,light+medium
ambiguous,light,0.5,9,5,3,history_cost,LE-GRA MVP,0.6811594202898551,0.3597638127372417,0.43748600240593144,3,3,light+medium
ambiguous,light,0.5,9,6,3,history_cost,Multi-feature k-means,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3,light+medium
ambiguous,light,0.5,9,6,3,history_cost,LE-GRA MVP,0.7898550724637681,0.5695154090249019,0.584254867150534,3,3,light+medium
ambiguous,light,0.5,9,7,3,history_cost,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,7,3,history_cost,LE-GRA MVP,0.7717391304347826,0.5205690967243851,0.5965244130069208,3,3,light+medium
ambiguous,light,0.5,9,8,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,8,3,history_cost,LE-GRA MVP,0.5652173913043478,0.13025210084033614,0.21168043809518677,3,3,light+medium
ambiguous,light,0.5,9,9,3,history_cost,Multi-feature k-means,0.5579710144927537,0.10394379690244294,0.32854590134864414,3,3,light+medium
ambiguous,light,0.5,9,9,3,history_cost,LE-GRA MVP,0.4384057971014493,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,10,3,history_cost,Multi-feature k-means,0.6014492753623188,0.2301840864141184,0.40151504161819535,3,3,light+medium
ambiguous,light,0.5,9,10,3,history_cost,LE-GRA MVP,0.6485507246376812,0.3304991497449235,0.4537300989485299,3,3,light+medium
